name,state,latitude,longitude,area_sqmi,tier
ADAK,AK,51.909889,-176.598067,32.4340,3
AFOGNAK,AK,58.022124,-152.765226,0.0000,-1
AGUIKCHUK,AK,60.475000,-164.435556,0.0000,-1
AIAKTALIK,AK,56.706944,-154.115000,0.0000,-1
AIEVAK,AK,58.563439,-153.974589,0.0000,-1
AIRPORT HEIGHTS,AK,61.205556,-149.823611,0.0000,-1
AKHIOK,AK,56.948329,-154.215306,7.4000,3
AKIACHAK,AK,60.920991,-161.402199,7.0100,3
AKIAK,AK,60.912838,-161.216225,2.1420,3
AKLUT,AK,60.200000,-162.250000,0.0000,-1
AKMIUT HISTORICAL,AK,61.516667,-158.583333,0.0000,-1
AKOKPAK HISTORICAL,AK,59.633333,-157.133333,0.0000,-1
AKPALIUT HISTORICAL,AK,64.500000,-163.333333,0.0000,-1
AKSHADAK HISTORICAL,AK,65.743646,-160.017868,0.0000,-1
AKULGA HISTORICAL,AK,51.700000,-178.036667,0.0000,-1
AKULIUKPAK HISTORICAL,AK,59.633333,-158.533333,0.0000,-1
AKULIVIKCHUK HISTORICAL,AK,59.571278,-157.062309,0.0000,-1
AKULURAK,AK,60.277500,-162.441389,0.0000,-1
AKUMSUK,AK,62.723056,-164.472222,0.0000,-1
AKUTAN,AK,54.139979,-165.763026,65.9770,3
ALAGANIK,AK,60.444167,-145.215833,0.0000,-1
ALAKANUK,AK,62.710997,-164.649719,32.1990,3
ALATNA,AK,66.563794,-152.838498,36.4830,3
ALCAN,AK,62.723056,-141.188056,0.0000,-1
ALCAN BORDER,AK,62.703078,-141.193584,151.7500,3
ALEKNAGIK,AK,59.288961,-158.664343,26.5480,3
ALEKSASHKINA,AK,57.780000,-152.355278,0.0000,-1
ALENEVA,AK,58.059052,-152.909015,62.2080,3
ALEUT VILLAGE,AK,58.017800,-152.765500,0.0000,-1
ALEUTIANS EAST CENSUS SUBAREA,AK,55.245044,-161.997477,6986.2540,1
ALEUTIANS WEST CENSUS SUBAREA,AK,51.948964,179.621188,4393.0260,1
ALEXANDER,AK,61.417222,-150.596944,0.0000,-1
ALEXANDER CREEK,AK,61.421794,-150.599933,0.0000,-1
ALEXANDERS VILLAGE,AK,66.788333,-145.436944,0.0000,-1
ALEXEIEV HISTORICAL,AK,62.500000,-163.500000,0.0000,-1
ALINNAK HISTORICAL,AK,67.991667,-150.500000,0.0000,-1
ALLAKAKET,AK,66.542002,-152.583016,14.7170,3
ALPINE,AK,70.328056,-150.977500,0.0000,-1
ALYESKA,AK,60.960833,-149.110833,0.0000,-1
AMALGA HISTORICAL,AK,58.741667,-134.766667,0.0000,-1
AMBLER,AK,67.090944,-157.887097,10.2790,3
AMCHITKA,AK,51.567222,178.877500,0.0000,-1
AMTAX HISTORICAL,AK,52.224444,-174.083889,0.0000,-1
ANAKTUVUK PASS,AK,68.149752,-151.697066,5.1770,3
ANCHOR POINT,AK,59.747364,-151.695697,91.6470,3
ANCHOR TERRACE,AK,61.202778,-149.894444,0.0000,-1
ANCHORAGE,AK,61.174250,-149.284329,1707.0040,3
ANCHORAGE CENSUS SUBAREA,AK,61.174250,-149.284329,1707.0040,1
ANDERSON,AK,64.308281,-149.163187,42.2010,3
ANGOON,AK,57.441257,-134.478357,24.5340,3
ANGUN,AK,69.925000,-142.400000,0.0000,-1
ANIAK,AK,61.578825,-159.547427,6.1850,3
ANIAK CENSUS SUBAREA,AK,61.468804,-156.692206,19063.4670,1
ANIUK HISTORICAL,AK,68.000000,-158.000000,0.0000,-1
ANIYAK HISTORICAL,AK,67.066667,-163.300000,0.0000,-1
ANNETTE,AK,55.061667,-131.541667,0.0000,-1
ANOGOK,AK,59.821111,-164.028611,0.0000,-1
ANUGNAK,AK,59.133333,-158.500000,0.0000,-1
ANVIK,AK,62.631627,-160.215106,9.4910,3
APOKAK,AK,60.130000,-162.198056,0.0000,-1
ARCTIC CITY HISTORICAL,AK,66.450000,-153.000000,0.0000,-1
ARCTIC VILLAGE,AK,68.165374,-145.401362,63.7850,3
AROLOKOVIK,AK,62.384722,-163.800556,0.0000,-1
ARTESIAN VILLAGE,AK,61.227500,-149.781389,0.0000,-1
ATKA,AK,52.211546,-174.213452,8.4680,3
ATMAUTLUAK,AK,60.862755,-162.280302,0.6040,3
ATQASUK,AK,70.480786,-157.325459,39.1200,3
ATTU,AK,52.937500,173.237500,0.0000,-1
ATTU STATION,AK,52.880248,173.256076,142.5380,3
AUKE BAY,AK,58.383333,-134.659722,0.0000,-1
AUKE HISTORICAL,AK,58.375000,-134.725000,0.0000,-1
AURORA,AK,64.856944,-147.758611,0.0000,-1
AURORA HISTORICAL,AK,59.683333,-151.100000,0.0000,-1
AURORA LODGE,AK,64.470556,-146.938611,0.0000,-1
AYAK HISTORICAL,AK,64.483333,-166.216667,0.0000,-1
AZIAK HISTORICAL,AK,64.483333,-166.216667,0.0000,-1
AZIAVIK HISTORICAL,AK,58.783333,-161.250000,0.0000,-1
BADGER,AK,64.800081,-147.385129,65.7040,3
BAKER,AK,64.966944,-150.459722,0.0000,-1
BARANOF,AK,57.089444,-134.833056,0.0000,-1
BARNUM HISTORICAL,AK,59.250000,-161.383333,0.0000,-1
BARRABORA HISTORICAL,AK,63.384444,-162.331389,0.0000,-1
BARTLETT COVE,AK,58.450000,-135.916667,0.0000,-1
BASHER,AK,61.154167,-149.700000,0.0000,-1
BATZULNETAS HISTORICAL,AK,62.614722,-143.771389,0.0000,-1
BEAR CREEK,AK,60.208060,-149.369779,38.3340,3
BEARPAW,AK,64.082778,-150.683333,0.0000,-1
BEAVER,AK,66.384745,-147.287756,20.5180,3
BEAVER FALLS,AK,55.383333,-131.466667,0.0000,-1
BEAVER HISTORICAL,AK,53.903762,-166.228348,0.0000,-1
BELCARO HISTORICAL,AK,61.862354,-146.318907,0.0000,-1
BELKOFSKI,AK,55.088889,-162.030556,0.0000,-1
BELL ISLAND HOT SPRINGS,AK,55.931667,-131.565278,0.0000,-1
BELUGA,AK,61.190862,-151.184237,99.1280,3
BERGMAN HISTORICAL,AK,66.500000,-152.883333,0.0000,-1
BERING HISTORICAL,AK,65.200000,-166.466667,0.0000,-1
BESSIE NO 5 DREDGE CAMP,AK,64.550000,-165.150000,0.0000,-1
BETHEL,AK,60.793868,-161.796066,44.4990,3
BETTLES,AK,66.906901,-151.537994,1.5650,3
BIG DELTA,AK,64.157047,-145.740874,46.9400,3
BIG LAKE,AK,61.515547,-149.975530,115.4350,3
BIG PORT WALTER HISTORICAL,AK,56.378611,-134.731111,0.0000,-1
BILL MOORES,AK,62.949722,-163.778889,0.0000,-1
BINAJOAKSMIUT HISTORICAL,AK,59.850278,-166.505833,0.0000,-1
BIORKA,AK,53.826944,-166.208056,0.0000,-1
BIRCH CREEK,AK,66.268327,-145.876583,8.0700,3
BIRCHES,AK,65.135000,-153.556667,0.0000,-1
BIRCHWOOD,AK,61.405278,-149.468889,0.0000,-1
BJERRMARK,AK,64.825000,-147.716667,0.0000,-1
BLACK,AK,62.336111,-165.335000,0.0000,-1
BLANCHARD,AK,61.205556,-149.879167,0.0000,-1
BLUFF,AK,64.572778,-163.754167,0.0000,-1
BONIBROOK,AK,61.199722,-149.774167,0.0000,-1
BORNITE,AK,67.059167,-156.942778,0.0000,-1
BOSWELL BAY,AK,60.400000,-146.133333,0.0000,-1
BREVIG MISSION,AK,65.343196,-166.508946,2.4320,3
BRISTOL BAY CENSUS SUBAREA,AK,58.741661,-156.966805,481.9520,1
BROAD PASS HISTORICAL,AK,63.233333,-149.266667,0.0000,-1
BROADMOOR,AK,64.823889,-147.875833,0.0000,-1
BROWERVILLE,AK,71.298056,-156.770000,0.0000,-1
BUCKLAND,AK,65.976489,-161.139436,0.8520,3
BUFFALO SOAPSTONE,AK,61.684439,-149.121172,22.1340,3
BURNT PAW HISTORICAL,AK,67.026111,-142.591667,0.0000,-1
BUTTE,AK,61.534033,-148.988168,33.7930,3
CALDER HISTORICAL,AK,56.173889,-133.463333,0.0000,-1
CAMPBELL,AK,61.171944,-149.894167,0.0000,-1
CANDLE,AK,65.913333,-161.924444,0.0000,-1
CANNERY,AK,57.785278,-135.096389,0.0000,-1
CANTWELL,AK,63.411396,-148.749621,119.0190,3
CANYON CITY HISTORICAL,AK,59.614167,-135.330556,0.0000,-1
CANYON VILLAGE,AK,67.154840,-142.087821,0.0000,-1
CAPALOA HISTORICAL,AK,68.645833,-166.220833,0.0000,-1
CAPE FANSHAW,AK,57.212778,-133.501944,0.0000,-1
CAPE NOME,AK,64.463889,-164.959444,0.0000,-1
CAPE POLE,AK,55.965000,-133.793333,0.0000,-1
