opis_id,name,address,city,state,latitude,longitude,price_mean,price_min,price_max,price_sample_count
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,36.542261,-95.221994,3.007333,3.007333,3.007333,1
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,43.988010,-90.501380,3.287333,3.287333,3.287333,1
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,32.966242,-112.715465,3.899000,3.899000,3.899000,2
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,35.349276,-94.370883,3.399000,3.399000,3.399000,1
35,ACI TRUCK STOP,US-46,Columbia,NJ,40.925868,-75.094062,3.079000,3.079000,3.079000,1
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,38.738878,-78.650918,2.899000,2.899000,2.899000,1
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,30.810264,-97.615122,2.919000,2.919000,2.919000,1
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,32.411501,-85.972808,3.154000,3.154000,3.154000,1
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,38.947516,-85.891285,3.959000,3.959000,3.959000,1
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,41.235987,-95.853163,3.725667,3.725667,3.725667,1
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,46.851260,-100.267087,3.515667,3.515667,3.515667,1
75,Good 2 Go #709,US-50,Montrose,CO,38.468802,-107.858914,3.424000,3.424000,3.424000,1
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,38.571457,-75.571134,3.229000,3.229000,3.229000,1
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle,DE,39.670017,-75.566519,3.249000,3.249000,3.249000,1
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,27.526580,-82.526683,3.439000,3.439000,3.439000,1
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,39.764710,-105.600278,3.459000,3.459000,3.459000,1
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville,GA,33.554641,-82.896695,3.499000,3.499000,3.499000,1
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,43.370815,-83.881964,3.337333,3.269000,3.429000,6
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,35.354743,-109.052817,3.299000,3.299000,3.299000,1
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,32.741255,-111.594015,3.474000,3.474000,3.474000,1
127,CIRCLE K #4700095,US-41,Henderson,KY,37.838416,-87.580971,3.609000,3.609000,3.609000,1
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,39.119750,-88.550896,3.432333,3.349000,3.549000,3
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,41.413245,-90.005345,3.475667,3.389000,3.589000,3
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,40.118872,-85.556247,3.624000,3.624000,3.624000,1
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne,IN,41.089132,-85.143900,3.592333,3.592333,3.592333,1
